Date,Module,Readings,Due Dates
2025-09-03,Introduction,"<strong>Getting philosophical</strong><br /><ul><li>Jennifer Morton, “Philosophy as an Antidote to Injustice” [CourseWorks > Files]</li></ul>","Please complete <strong><a href='https://docs.google.com/forms/d/e/1FAIpQLSef8K8RdOMkRsaN1gzuHGM1sznqb-vuCuhcPzMB-mi99y5rYA/viewform?usp=dialog'>this “Getting to Know You” survey</a></strong> by 5pm the day before our first day of class (or as soon as possible if you are joining late)"
2025-09-08,Portraits of a philosopher,"<strong>The <em>junzi</em> (“gentleman”) I</strong><br /><ul><li>Kongzi [Confucius], <em>Analects</em>, 1.1–4; 2.1–4, 11–12, 17; 3.8, 23; 4.1–10, 15–25; 5.12–13; 6.5, 12, 18, 21–23, 27–30; 7.3–8, 12, 30; 8.9, 13; 9.2–3, 6, 13–14, 17–19, 23–24; 10.12; 11.12, 22, 26; 12.17–19; 13.5–6; 14.4, 36; 15.24, 36, 39; 16.4–5, 7–9; 17.2, 21, 25; 19.11 [CourseWorks]</li></ul>",
2025-09-10,Portraits of a philosopher,"<strong>The <em>junzi</em> II</strong><br /><ul><li>Mozi, <em>Mozi</em>, pp. 66–67, 73–74, 85–90, 103–8 [CourseWorks]</li><li>Ban Zhao, in Nancy Lee Swann, ed., <a href='https://clio.columbia.edu/catalog/ebs467119e'><em>Pan Chao: Foremost Woman Scholar of China</em></a>:<ul><li><em>Lessons for Women</em>, pp. 82–90, 91 nn. 11–12</li><li>“The Needle and Thread,” p. 104</li><li>“Traveling East,” pp. 113–14, 116, 118</li></ul></li></ul>",
2025-09-15,Portraits of a philosopher,"<strong>The lover of wisdom I</strong><br /><ul><li>Thales, ¶¶ 1–5; Anaximander, ¶¶ 1, 3, 6–7, 9–11 [Coursework]</li><li>Heraclitus, ¶¶ 1–5, 11–13, 16–17, 33–39, 44, 50, 52, 60, 62 [Coursework]</li><li>Parmenides, ¶¶ 1–2, 7–8, 13, 17–18 [Coursework]</li><li>Protagoras, ¶¶ 5–8, 10–12 [Coursework]</li><li>Sappho, in Diane J. Rayor and André Lardinois, eds., <a href='https://www-cambridge-org.ezproxy.cul.columbia.edu/core/books/sappho/sappho/371EEE1C455414DD5C2E3C1F8713465A'><em>A New Translation of the Complete Works</em></a>, frs. 1–2, 16–17, 23, 26, 31, 41, 44, 50, 58, 94–96, 102, 105, 126, 129–30, 147–48, 153–54; “<a href='https://www.amacad.org/publication/daedalus/new-brothers-poem-sappho'>Brothers Song</a>”</li></ul>",
2025-09-17,Portraits of a philosopher,"<strong>The lover of wisdom II</strong><br /><ul><li>Plato, <em>Euthyphro</em>, 2a–12a, 15c–16a; <em>Apology</em>, 17a–26b, 35e–42a; <em>Crito</em>, 43a–54e [CourseWorks]</li><li>Plato, <em>Phaedo</em>, 115a–118a [CourseWorks]</li><li>Plato, <em>Republic</em>, 514a-518d, 523a-525b, 531c-535a [CourseWorks]</li><li>Aristotle, <em>Metaphysics</em> I.1–2, 980a22–983a23 [CourseWorks]</li></ul>",
2025-09-22,Philosophy & religion,"<strong>Between reason and faith</strong><br /><ul><li>Ibn Rushd [Averroes], <em>The Decisive Treatise</em> [CourseWorks]</li></ul>",
2025-09-24,Philosophy & religion,"<strong>Ontological & cosmological arguments</strong><br /><ul><li>In Anselm, <em>Proslogion: With the Replies of Gaunilo and Anselm</em> [CourseWorks]:</li><ul><li>Anselm, <em>Proslogion</em>, chaps. 1–5, 15</li><li>Gaunilo, “Reply on Behalf of the Fool”</li><li>Anselm, “Reply to Gaunilo”</li></ul><li>Ibn Sina [Avicenna], <em>The Book of Salvation</em> II.12–13 [CourseWorks]</li><li>Aquinas, <a href='https://www.freddoso.com/summa-translation/TOC-part1.htm'><em>Summa Theologiae</em> I</a>, Question 2, Article 3</li></ul>",
2025-09-29,Philosophy & religion,"<strong>The problem of evil</strong><br /><ul><li>Augustine, <a href='https://clio.columbia.edu/catalog/ebs13202563e'><em>Confessions</em></a> VII.11–13</li><li>Augustine, <em>Enchiridion</em>, chaps. 3–4 [CourseWorks]</li><li>Maimonides, selections from the <em>Guide for the Perplexed</em> [CourseWorks]</li></ul>",
2025-10-01,Philosophy & religion,"<strong>Pascal’s wager</strong><br /><ul><li>Pascal, selections from <em>Pensées</em></li></ul>",
2025-10-06,Knowledge & skepticism,"<strong>Skeptical hypotheses</strong><br /><ul><li>Zhuangzi, <a href='https://intro.dingherself.com/zhuangzi.html'><em>Zhuangzi</em></a>, the butterfly dream and the debate on fish’s joy</li><li>Ibn Sina, selections from <em>The Cure</em> [CourseWorks]</li><li>Descartes, <em>Meditations</em> I</li><li><em>In-class screening</em>: <em>The Matrix</em>, directed by Lana and Lilly Wachowski, 136 min</li></ul>",
